ID,Raio,Regras_Finais,Acuracia
1,0.18477105705413477,43,0.7
2,0.03877308275534478,127,0.7833333333333333
3,0.17002737695322773,47,0.725
4,0.14158043891841465,58,0.7166666666666667
5,0.11279152190870516,73,0.7333333333333333
6,0.15135411516196062,55,0.7166666666666667
7,0.11475789228912671,71,0.7333333333333333
8,0.019271797443734424,148,0.8083333333333333
9,0.19722262248237635,42,0.7083333333333334
10,0.15363516965083204,54,0.7333333333333333
11,0.05329533562030402,114,0.7833333333333333
12,0.19691991877407597,42,0.7083333333333334
13,0.01969217277025448,147,0.8083333333333333
14,0.01536720559461862,152,0.8166666666666667
15,0.19741399913318192,42,0.7083333333333334
16,0.06210960200958348,109,0.75
17,0.19179288367707364,42,0.7083333333333334
18,0.021615119191998947,143,0.7833333333333333
19,0.060798745728909864,113,0.75
20,0.15918453351465323,51,0.7333333333333333
21,0.08808869579261584,89,0.725
22,0.17500251446138468,45,0.725
23,0.09741093946318234,81,0.7166666666666667
24,0.06453270950703416,107,0.7583333333333333
25,0.0395719071500054,127,0.7833333333333333
26,0.09689328413259934,81,0.7166666666666667
27,0.05606926444775034,113,0.7583333333333333
28,0.02809004372465739,134,0.75
29,0.05758842527253381,113,0.75
30,0.049020692537821646,116,0.7833333333333333
31,0.07760490167381043,100,0.75
32,0.025688632553357904,138,0.8
33,0.04163971103624058,123,0.7833333333333333
34,0.15321244267512926,54,0.7166666666666667
35,0.0782189377343009,99,0.75
36,0.12242314478136641,66,0.725
37,0.0260761744280657,138,0.7916666666666666
38,0.08763064546090142,88,0.725
39,0.020594475509617904,146,0.8083333333333333
40,0.03677059295949295,129,0.775
41,0.1516482823834637,55,0.7166666666666667
42,0.18705400403973346,43,0.7
43,0.14501867949697542,56,0.7166666666666667
44,0.0781908485337489,99,0.75
45,0.13838663219666583,58,0.7166666666666667
46,0.1858301410019431,43,0.7
47,0.08289884773431343,94,0.725
48,0.07836666543332058,99,0.75
49,0.18118015356005476,42,0.7083333333333334
50,0.0667961548104929,107,0.7583333333333333
51,0.19811912605791215,42,0.7083333333333334
52,0.19384456129720173,42,0.7083333333333334
53,0.16129395086593595,51,0.7333333333333333
54,0.0975573172965861,82,0.725
55,0.045540422805589245,118,0.775
56,0.12413452568889954,66,0.725
57,0.1641112050989428,50,0.725
58,0.034072869745053906,132,0.7666666666666667
59,0.06295124852387922,108,0.75
60,0.039713686346071475,127,0.7833333333333333
61,0.12788088808444367,63,0.725
62,0.1638884680020402,50,0.725
63,0.02404291439628447,140,0.7916666666666666
64,0.17464252079059728,45,0.725
65,0.07801707407751636,99,0.75
66,0.06253033948154538,108,0.75
67,0.08782587395015197,90,0.725
68,0.054326249304319514,114,0.7833333333333333
69,0.05406290845750743,114,0.7833333333333333
70,0.16358226855703129,50,0.725
71,0.18997547074956694,42,0.7083333333333334
72,0.14203531154348686,58,0.7166666666666667
73,0.05151543062533699,115,0.7833333333333333
74,0.11468154239119181,71,0.7333333333333333
75,0.15370898562710367,54,0.7333333333333333
76,0.036492121379365715,129,0.775
77,0.15851679063114496,51,0.7333333333333333
78,0.19694687220056992,42,0.7083333333333334
79,0.06970162341834613,105,0.75
80,0.14180500845898691,58,0.7166666666666667
81,0.14417408481020938,56,0.7166666666666667
82,0.10298848239002602,78,0.7083333333333334
83,0.12212050295216366,66,0.725
84,0.09353673436612168,84,0.7166666666666667
85,0.11115509335719037,73,0.7333333333333333
86,0.15608450480354605,53,0.7333333333333333
87,0.06487365257533576,107,0.7583333333333333
88,0.050779519296938455,116,0.7833333333333333
89,0.10294731279307352,78,0.7083333333333334
90,0.016737781971166082,149,0.8166666666666667
91,0.04634686204213983,118,0.775
92,0.19083299092959743,42,0.7083333333333334
93,0.04747617144741478,117,0.775
94,0.16384238190665784,50,0.725
95,0.15599869341596637,53,0.7333333333333333
96,0.12022651637869206,66,0.725
97,0.0701363322135367,104,0.75
98,0.050855730205041506,116,0.7833333333333333
99,0.11331504074082707,72,0.7333333333333333
100,0.18571779174508565,43,0.7
101,0.09707698310147535,81,0.7166666666666667
102,0.195908922317576,42,0.7083333333333334
103,0.09753091360874283,82,0.725
104,0.1798983493508745,42,0.7083333333333334
105,0.1091830852650511,73,0.7333333333333333
106,0.01923012000245765,148,0.8083333333333333
107,0.06579824551978522,107,0.7583333333333333
108,0.1599638657794565,51,0.7333333333333333
109,0.1060911753659124,75,0.725
110,0.07893158614524315,98,0.75
111,0.12890220911381758,62,0.7166666666666667
112,0.11569113920243572,70,0.7333333333333333
113,0.08075419466739196,94,0.7333333333333333
114,0.0885482228522095,88,0.725
115,0.08291283040134811,94,0.725
116,0.124840611962471,66,0.725
117,0.18321351196311533,43,0.7
118,0.02318074772729853,140,0.7916666666666666
119,0.06724251931930451,104,0.75
120,0.03867896990313087,127,0.7833333333333333
121,0.09112025864945764,87,0.725
122,0.1794333112556632,42,0.7083333333333334
123,0.18052282203101788,42,0.7083333333333334
124,0.17176490408775807,46,0.725
125,0.08135831040388875,94,0.7333333333333333
126,0.14139650603515386,58,0.7166666666666667
127,0.04426790896850326,118,0.775
128,0.1795488883052964,42,0.7083333333333334
129,0.16246896373856495,50,0.725
130,0.11063260772066982,73,0.7333333333333333
131,0.1820069592116038,43,0.7
132,0.1519325472601324,55,0.7166666666666667
133,0.18212034907730504,43,0.7
134,0.04496442018990398,118,0.775
135,0.09655202063684849,82,0.7166666666666667
136,0.06363983058911583,108,0.75
137,0.10270924896966323,79,0.7083333333333334
138,0.1958948325185588,42,0.7083333333333334
139,0.09255999421581608,85,0.7166666666666667
140,0.06685052338320742,107,0.7583333333333333
141,0.07202611904530763,105,0.75
142,0.028148446914381307,134,0.75
143,0.019773224818367574,147,0.8083333333333333
144,0.025623329470414256,138,0.7916666666666666
145,0.15199473415893602,55,0.7166666666666667
146,0.07427879328273342,102,0.7333333333333333
147,0.06296618963594529,108,0.75
148,0.1389524946872723,58,0.7166666666666667
149,0.1776331825419134,43,0.7083333333333334
150,0.1853110926920125,43,0.7
151,0.07030954679129951,104,0.75
152,0.07703280603984497,101,0.75
153,0.0349591468970787,130,0.7666666666666667
154,0.10323050127857299,78,0.725
155,0.18258673534241454,43,0.7
156,0.1626897914362653,50,0.725
157,0.01628690076686799,149,0.8166666666666667
158,0.10667472233944879,75,0.725
159,0.09279433792157656,85,0.7166666666666667
160,0.08920933928265314,87,0.725
161,0.17393259797105876,45,0.725
162,0.13654795740859302,60,0.7166666666666667
163,0.013870708173775177,155,0.8
164,0.10225370633767887,79,0.7083333333333334
165,0.04412873295720091,118,0.775
166,0.10832607255501306,74,0.7333333333333333
167,0.02681292550666739,136,0.75
168,0.1348184081070308,60,0.7166666666666667
169,0.13038769485378857,61,0.7166666666666667
170,0.07148136468570578,105,0.75
171,0.056194857396916736,113,0.7583333333333333
172,0.17320880479397296,45,0.725
173,0.04329159353201996,120,0.8
174,0.06491500439855603,107,0.7583333333333333
175,0.1872530198254948,43,0.7
176,0.11073988299005394,73,0.7333333333333333
177,0.07377127237519872,102,0.7333333333333333
178,0.1560053333948824,53,0.7333333333333333
179,0.06022605978480292,113,0.75
180,0.06483927760893018,107,0.7583333333333333
181,0.11894914229416359,66,0.725
182,0.0677986391991707,104,0.75
183,0.08425700435937808,92,0.725
184,0.1753373032555585,45,0.725
185,0.025996097635023953,138,0.7916666666666666
186,0.02995980663352974,133,0.75
187,0.16990421147285287,47,0.725
188,0.014879919430394649,153,0.8
189,0.09497457265239688,83,0.7166666666666667
190,0.18387964200471468,43,0.7
191,0.19565199634990912,42,0.7083333333333334
192,0.07718533525841083,101,0.75
193,0.04186319497808312,123,0.7833333333333333
194,0.10992645870077383,73,0.7333333333333333
195,0.18399992584198882,43,0.7
196,0.017207418509152615,148,0.8083333333333333
197,0.18275695690453345,43,0.7
198,0.04709485133304439,117,0.775
199,0.17635844971957826,43,0.7083333333333334
200,0.12326587291240722,66,0.725
201,0.04307502303547782,120,0.8
202,0.15665369204819754,52,0.7333333333333333
203,0.15155168938810004,55,0.7166666666666667
204,0.11422659140492071,71,0.7333333333333333
205,0.10317527635119336,78,0.7083333333333334
206,0.18107619642874523,42,0.7083333333333334
207,0.13734841650759075,58,0.7166666666666667
208,0.10129792766854452,80,0.7083333333333334
209,0.0468005161564295,117,0.775
210,0.12354201847869163,66,0.725
211,0.17978904037144505,42,0.7083333333333334
212,0.16538594393297312,48,0.725
213,0.011792728152492143,155,0.8
214,0.039563824903062074,127,0.7833333333333333
215,0.08872804303949453,88,0.725
216,0.06176864947070887,109,0.75
217,0.13276672500910142,60,0.7166666666666667
218,0.08087323576518736,94,0.7333333333333333
219,0.04572436577357939,118,0.775
220,0.1807564075068275,42,0.7083333333333334
221,0.05880831624182209,113,0.75
222,0.19598766740758977,42,0.7083333333333334
223,0.05827539790945917,113,0.75
224,0.016393119872887434,149,0.8166666666666667
225,0.1517480551508574,55,0.7166666666666667
226,0.055978398041406745,113,0.7583333333333333
227,0.11135813344599803,73,0.7333333333333333
228,0.05331134011800407,114,0.7833333333333333
229,0.014682262799391103,155,0.8
230,0.16223966650689572,50,0.725
231,0.18344544697296553,43,0.7
232,0.19572458340706286,42,0.7083333333333334
233,0.053185566422469396,114,0.7833333333333333
234,0.08676165900117887,89,0.7166666666666667
235,0.16551150884433935,48,0.725
236,0.08576471625813185,90,0.725
237,0.15794912252672247,51,0.7333333333333333
238,0.16427939876751385,50,0.725
239,0.17313939498949027,45,0.725
240,0.1638949903347286,50,0.725
241,0.13465341783703136,60,0.7166666666666667
242,0.06968196152051354,105,0.75
243,0.056188739992575,113,0.7583333333333333
244,0.022351004615638315,140,0.7833333333333333
245,0.08584045920586947,90,0.725
246,0.13050698011195508,61,0.7166666666666667
247,0.05832845395358621,113,0.75
248,0.12119538662034746,66,0.725
249,0.16904857121178185,47,0.725
250,0.19014097030212226,42,0.7083333333333334
251,0.19452546925981887,42,0.7083333333333334
252,0.012927145376197203,155,0.8
253,0.1806768797637697,42,0.7083333333333334
254,0.020935739989804747,146,0.8083333333333333
255,0.026396964827865153,138,0.775
256,0.17254043254803528,45,0.725
257,0.05413441823829129,114,0.7833333333333333
258,0.14166390092258857,58,0.7166666666666667
259,0.1882907475448212,43,0.7
260,0.023731165940907566,140,0.7916666666666666
261,0.08709954652299316,88,0.725
262,0.11241119773780874,73,0.7333333333333333
263,0.0884130536855677,88,0.725
264,0.05445401885541054,114,0.7833333333333333
265,0.1428937285013503,58,0.7166666666666667
266,0.19368756803727577,42,0.7083333333333334
267,0.08679144101528168,89,0.7166666666666667
268,0.1289381146886712,62,0.7166666666666667
269,0.1481024439397169,53,0.7166666666666667
270,0.07007730587639131,104,0.75
271,0.18689776764032173,43,0.7
272,0.08821950376221357,88,0.725
273,0.17114110010013797,46,0.725
274,0.02108954527230435,146,0.8083333333333333
275,0.1569472746083182,52,0.7333333333333333
276,0.15872646771073567,51,0.7333333333333333
277,0.16948302715497937,47,0.725
278,0.07989516406424686,96,0.7333333333333333
279,0.16978305020638418,47,0.725
280,0.1104151824767957,73,0.7333333333333333
281,0.16314349794808244,50,0.725
282,0.14616161812335252,55,0.7166666666666667
283,0.07112209549837421,105,0.75
284,0.07805650033135617,99,0.75
285,0.08754798020781591,88,0.725
286,0.08404720553085997,93,0.725
287,0.19217485231078352,42,0.7083333333333334
288,0.1866809476467479,43,0.7
289,0.09197972636280292,86,0.725
290,0.15680800584633192,52,0.7333333333333333
291,0.12067414813482227,66,0.725
292,0.018633485433994575,148,0.8083333333333333
293,0.12153717658032975,66,0.725
294,0.10432732929718126,76,0.725
295,0.024996863141829303,138,0.7916666666666666
296,0.13490882997644218,60,0.7166666666666667
297,0.12491785564819356,66,0.725
298,0.08210137153779212,94,0.725
299,0.146847891793922,54,0.7166666666666667
300,0.19470548268143317,42,0.7083333333333334
301,0.03274839352843907,133,0.75
302,0.09087282541517376,87,0.725
303,0.19972998663732647,41,0.7083333333333334
304,0.02871308766201954,133,0.75
305,0.07758887787772939,100,0.75
306,0.15023725579101171,53,0.7166666666666667
307,0.1420467681413485,58,0.7166666666666667
308,0.014527059889367477,155,0.8
309,0.10464662668000849,76,0.725
310,0.07814309327930685,99,0.75
311,0.17634861205108987,43,0.7083333333333334
312,0.023563688579164604,140,0.7916666666666666
313,0.0497619939965285,116,0.7833333333333333
314,0.01192721603265553,155,0.8
315,0.04297688963047787,120,0.8
316,0.19402152520701607,42,0.7083333333333334
317,0.12750063747716595,63,0.725
318,0.17695998637444474,43,0.7083333333333334
319,0.156487591836159,53,0.7333333333333333
320,0.11974673271591292,66,0.725
321,0.04458454303416546,118,0.775
322,0.016916515130662925,149,0.8166666666666667
323,0.08749904039293734,88,0.725
324,0.14463601543434082,56,0.7166666666666667
325,0.12978236007969574,61,0.7166666666666667
326,0.08964059880831185,87,0.725
327,0.16056010861951814,51,0.7333333333333333
328,0.1268390284635886,65,0.725
329,0.023625239268815795,140,0.7916666666666666
330,0.1680768878313511,47,0.725
331,0.1419582147683629,58,0.7166666666666667
332,0.1742153145745148,45,0.725
333,0.15081380234745909,54,0.7166666666666667
334,0.04001983610203472,126,0.7833333333333333
335,0.17975349159382223,42,0.7083333333333334
336,0.19060014392131186,42,0.7083333333333334
337,0.06384917902154881,107,0.75
338,0.15930046687237362,51,0.7333333333333333
339,0.07446670047789508,102,0.75
340,0.1851475339792822,43,0.7
341,0.12330390669139553,66,0.725
342,0.06837355260575276,104,0.75
343,0.12690080799592243,65,0.725
344,0.02444997681977963,139,0.8
345,0.10228827437378343,79,0.7083333333333334
346,0.06682725478347389,107,0.7583333333333333
347,0.1535682027806437,54,0.7333333333333333
348,0.14089244203851697,58,0.7166666666666667
349,0.04877934147874302,116,0.7833333333333333
350,0.10866338899302594,73,0.7333333333333333
351,0.03220724398019953,133,0.75
352,0.023185633497268265,140,0.7916666666666666
353,0.12400977015314432,66,0.725
354,0.08553432296004551,90,0.725
355,0.034793271255453,130,0.7666666666666667
356,0.025744184306848224,138,0.8
357,0.04733196155529194,117,0.775
358,0.03204343705099612,133,0.75
359,0.10460877206190813,76,0.725
360,0.11711679468406495,69,0.7333333333333333
361,0.1914237946942642,42,0.7083333333333334
362,0.19024466443754093,42,0.7083333333333334
363,0.08784649266666689,90,0.725
364,0.09575115927025275,83,0.7166666666666667
365,0.08062588253361899,94,0.7333333333333333
366,0.022810148281460486,140,0.7833333333333333
367,0.1943479343173165,42,0.7083333333333334
368,0.10870078025133874,73,0.7333333333333333
369,0.0268535552321452,136,0.75
370,0.09363005679402625,84,0.7166666666666667
371,0.1349687015491047,60,0.7166666666666667
372,0.17799408970529418,43,0.7083333333333334
373,0.18066508569638307,42,0.7083333333333334
374,0.12519490588833118,66,0.725
375,0.04173483007428514,123,0.7833333333333333
376,0.10720805635910458,75,0.725
377,0.03342559473870971,133,0.75
378,0.06234538672042553,109,0.75
379,0.012967936174016486,155,0.8
380,0.04874036431802816,116,0.7833333333333333
381,0.13369437531533984,60,0.7166666666666667
382,0.08178209635582512,94,0.725
383,0.049591762328830745,116,0.7833333333333333
384,0.16116840123607598,51,0.7333333333333333
385,0.13176706663745785,61,0.7166666666666667
386,0.17182094376307355,46,0.725
387,0.08009996928721112,95,0.7333333333333333
388,0.12075232045052138,66,0.725
389,0.045812348594420564,118,0.775
390,0.09625443272055935,82,0.7166666666666667
391,0.12331012702980843,66,0.725
392,0.030400009188165683,133,0.75
393,0.17502134779022302,45,0.725
394,0.049400870695473685,116,0.7833333333333333
395,0.0806575052877592,94,0.7333333333333333
396,0.13821562271869905,58,0.7166666666666667
397,0.08378354658353772,93,0.725
398,0.06113461486564472,110,0.75
399,0.08201784150298326,94,0.725
400,0.06477372722433586,107,0.7583333333333333
401,0.01436400046383603,155,0.8
402,0.01865228329517652,148,0.8083333333333333
403,0.16499043159516147,48,0.725
404,0.16374727357856997,50,0.725
405,0.13372548977032778,60,0.7166666666666667
406,0.08961712631439771,87,0.725
407,0.03646940303609486,129,0.775
408,0.0453082646673417,118,0.775
409,0.17119407141363355,46,0.725
410,0.061461722755673485,110,0.75
411,0.04549202714345631,118,0.775
412,0.1843387397922986,43,0.7
413,0.05388604237362326,114,0.7833333333333333
414,0.059343768304698806,113,0.75
415,0.09102727526227976,87,0.725
416,0.05583924197117551,113,0.7583333333333333
417,0.05252634043251386,115,0.7833333333333333
418,0.032059386685610015,133,0.75
419,0.13485630425267137,60,0.7166666666666667
420,0.18538542739697897,43,0.7
421,0.17348524277865454,45,0.725
422,0.16141571279181313,51,0.7333333333333333
423,0.10845538911730637,73,0.7333333333333333
424,0.033966190258169375,132,0.7666666666666667
425,0.14588188124207246,55,0.7166666666666667
426,0.03509160796368313,130,0.7666666666666667
427,0.021764553039596582,140,0.7833333333333333
428,0.0187745757106985,148,0.8083333333333333
429,0.041652085225149835,123,0.7833333333333333
430,0.1225556254825927,66,0.725
431,0.18200753487893065,43,0.7
432,0.0985718545312448,81,0.7166666666666667
433,0.165679119844964,48,0.725
434,0.1702140215138104,47,0.725
435,0.14566071595983146,55,0.7166666666666667
436,0.15928365919767062,51,0.7333333333333333
437,0.11834870972017536,66,0.725
438,0.08836328442372247,88,0.725
439,0.07649550781037692,102,0.75
440,0.17794026202830443,43,0.7083333333333334
441,0.04151688408455256,124,0.7833333333333333
442,0.011208834286199483,155,0.8083333333333333
443,0.1111402497132107,73,0.7333333333333333
444,0.01110428756047571,155,0.8083333333333333
445,0.07493281842073024,102,0.75
446,0.09149974999384423,87,0.725
447,0.10787173615804074,75,0.725
448,0.13388236989449817,60,0.7166666666666667
449,0.19169530283647354,42,0.7083333333333334
450,0.05863184967902765,113,0.75
451,0.05329494052577959,114,0.7833333333333333
452,0.15633042860813387,53,0.7333333333333333
453,0.18407471466233477,43,0.7
454,0.1885871929920024,42,0.7083333333333334
455,0.1997944644225455,41,0.7083333333333334
456,0.15321227869265505,54,0.7166666666666667
457,0.11135432401222994,73,0.7333333333333333
458,0.05244630486897519,115,0.7833333333333333
459,0.047800400612091495,117,0.775
460,0.09543783907225185,83,0.7166666666666667
461,0.09247312855958768,85,0.7166666666666667
462,0.12922996888870836,62,0.7166666666666667
463,0.07799629979967494,99,0.75
464,0.024592690295091688,139,0.8
465,0.1522492619762881,54,0.7166666666666667
466,0.11305886703108924,73,0.7333333333333333
467,0.04466762265601773,118,0.775
468,0.05922613221682616,113,0.75
469,0.19027538260678342,42,0.7083333333333334
470,0.03822651067368514,128,0.775
471,0.1007560261879789,80,0.7083333333333334
472,0.13415410548134424,60,0.7166666666666667
473,0.13560545675431226,60,0.7166666666666667
474,0.08676001485923318,89,0.7166666666666667
475,0.11600765968231697,70,0.7333333333333333
476,0.18766600905389336,43,0.7
477,0.102082710942776,79,0.7083333333333334
478,0.013778221961459225,155,0.8
479,0.10892272472116553,73,0.7333333333333333
480,0.12032551706839598,66,0.725
481,0.02621724144865363,138,0.7916666666666666
482,0.1110264242584563,73,0.7333333333333333
483,0.12290685925656662,66,0.725
484,0.18009413716211428,42,0.7083333333333334
485,0.04117362077295152,124,0.7833333333333333
486,0.15173373286310907,55,0.7166666666666667
487,0.04339776901655472,120,0.8
488,0.14489562646822507,56,0.7166666666666667
489,0.18971270793132017,42,0.7083333333333334
490,0.17678162510382267,43,0.7083333333333334
491,0.05684906972291772,113,0.75
492,0.11527756803374677,71,0.7333333333333333
493,0.012491764416258336,155,0.8
494,0.10826674623736493,74,0.7333333333333333
495,0.03038857480666053,133,0.75
496,0.011894528636011228,155,0.8
497,0.09682129407990803,81,0.7166666666666667
498,0.1700348497488734,47,0.725
499,0.06725335605510696,104,0.75
500,0.04284186422898038,120,0.8
